client_id,external_transaction_id,amount,currency,direction,transaction_date,description
PR-C-GBP-001,PR-TXN-GBP-0001,3000000.00,GBP,CREDIT,2026-02-10,Institutional inflow
PR-C-GBP-001,PR-TXN-GBP-0002,1200000.00,GBP,DEBIT,2026-02-12,Bulk client redemption
PR-C-GBP-001,PR-TXN-GBP-0003,800000.00,GBP,DEBIT,2026-02-18,Payroll disbursement
PR-C-GBP-002,PR-TXN-GBP-0004,1500000.00,GBP,CREDIT,2026-02-11,CHAPS corporate receipt
PR-C-GBP-002,PR-TXN-GBP-0005,600000.00,GBP,DEBIT,2026-02-14,Supplier settlement
PR-C-GBP-003,PR-TXN-GBP-0006,1200000.00,GBP,CREDIT,2026-02-13,Merchant settlement batch
PR-C-GBP-003,PR-TXN-GBP-0007,500000.00,GBP,DEBIT,2026-02-17,Wire transfer out
PR-C-GBP-004,PR-TXN-GBP-0008,1000000.00,GBP,CREDIT,2026-02-14,Settlement proceeds
PR-C-GBP-004,PR-TXN-GBP-0009,400000.00,GBP,DEBIT,2026-02-19,Client drawdown
PR-C-GBP-005,PR-TXN-GBP-0010,900000.00,GBP,CREDIT,2026-02-17,BACS credit batch
PR-C-GBP-005,PR-TXN-GBP-0011,300000.00,GBP,DEBIT,2026-02-20,Outbound payment
PR-C-GBP-006,PR-TXN-GBP-0012,750000.00,GBP,CREDIT,2026-02-18,Wire receipt
PR-C-GBP-007,PR-TXN-GBP-0013,600000.00,GBP,CREDIT,2026-02-19,Incoming Faster Payment
PR-C-GBP-008,PR-TXN-GBP-0014,500000.00,GBP,CREDIT,2026-02-20,Corporate deposit
PR-C-EUR-001,PR-TXN-EUR-0001,1500000.00,EUR,CREDIT,2026-02-10,SEPA batch settlement
PR-C-EUR-001,PR-TXN-EUR-0002,600000.00,EUR,DEBIT,2026-02-12,SEPA outbound
PR-C-EUR-002,PR-TXN-EUR-0003,1200000.00,EUR,CREDIT,2026-02-11,EUR settlement
PR-C-EUR-002,PR-TXN-EUR-0004,450000.00,EUR,DEBIT,2026-02-14,SEPA direct debit
PR-C-EUR-003,PR-TXN-EUR-0005,1000000.00,EUR,CREDIT,2026-02-13,SWIFT EUR receipt
PR-C-EUR-004,PR-TXN-EUR-0006,800000.00,EUR,CREDIT,2026-02-17,Monthly EUR collection
PR-C-EUR-005,PR-TXN-EUR-0007,700000.00,EUR,CREDIT,2026-02-18,Corporate EUR inflow
PR-C-EUR-006,PR-TXN-EUR-0008,600000.00,EUR,CREDIT,2026-02-19,SEPA credit
PR-C-EUR-007,PR-TXN-EUR-0009,500000.00,EUR,CREDIT,2026-02-20,EUR wire
PR-C-EUR-008,PR-TXN-EUR-0010,500000.00,EUR,DEBIT,2026-02-21,SEPA withdrawal
