client_id,currency,balance,balance_date
ER-C-GBP-001,GBP,1500000.00,2026-02-24
ER-C-GBP-002,GBP,1200000.00,2026-02-24
ER-C-GBP-003,GBP,850000.00,2026-02-24
ER-C-GBP-004,GBP,700000.00,2026-02-24
ER-C-GBP-005,GBP,600000.00,2026-02-24
ER-C-GBP-006,GBP,450000.00,2026-02-24
ER-C-GBP-007,GBP,350000.00,2026-02-24
ER-C-GBP-008,GBP,300000.00,2026-02-24
ER-C-GBP-009,GBP,250000.00,2026-02-24
ER-C-GBP-010,GBP,200000.00,2026-02-24
ER-C-GBP-011,GBP,150000.00,2026-02-24
ER-C-GBP-012,GBP,125000.00,2026-02-24
ER-C-GBP-013,GBP,100000.00,2026-02-24
ER-C-GBP-014,GBP,75000.00,2026-02-24
ER-C-GBP-015,GBP,75000.00,2026-02-24
ER-C-GBP-016,GBP,75000.00,2026-02-24
ER-C-EUR-001,EUR,1200000.00,2026-02-24
ER-C-EUR-002,EUR,900000.00,2026-02-24
ER-C-EUR-003,EUR,700000.00,2026-02-24
ER-C-EUR-004,EUR,500000.00,2026-02-24
ER-C-EUR-005,EUR,400000.00,2026-02-24
ER-C-EUR-006,EUR,350000.00,2026-02-24
ER-C-EUR-007,EUR,300000.00,2026-02-24
ER-C-EUR-008,EUR,200000.00,2026-02-24
ER-C-EUR-009,EUR,150000.00,2026-02-24
ER-C-EUR-010,EUR,100000.00,2026-02-24
