client_id,external_transaction_id,amount,currency,direction,transaction_date,description
QS-C-GBP-001,QS-TXN-GBP-0001,50000.00,GBP,CREDIT,2026-02-17,Corporate wire receipt
QS-C-GBP-001,QS-TXN-GBP-0002,20000.00,GBP,DEBIT,2026-02-19,Client disbursement
QS-C-GBP-002,QS-TXN-GBP-0003,40000.00,GBP,CREDIT,2026-02-18,Incoming Faster Payment
QS-C-GBP-002,QS-TXN-GBP-0004,15000.00,GBP,DEBIT,2026-02-20,Outbound payment
QS-C-GBP-003,QS-TXN-GBP-0005,30000.00,GBP,CREDIT,2026-02-19,BACS credit batch
QS-C-GBP-004,QS-TXN-GBP-0006,25000.00,GBP,CREDIT,2026-02-20,Settlement proceeds
QS-C-GBP-005,QS-TXN-GBP-0007,22000.00,GBP,CREDIT,2026-02-21,Wire transfer in
QS-C-GBP-006,QS-TXN-GBP-0008,18000.00,GBP,DEBIT,2026-02-21,Withdrawal request
QS-C-GBP-007,QS-TXN-GBP-0009,15000.00,GBP,CREDIT,2026-02-24,Incoming transfer
QS-C-GBP-008,QS-TXN-GBP-0010,12000.00,GBP,CREDIT,2026-02-24,Top-up via open banking
