client_id,currency,balance,balance_date
PF-C-GBP-001,GBP,5000000.00,2026-02-24
PF-C-GBP-002,GBP,4200000.00,2026-02-24
PF-C-GBP-003,GBP,3500000.00,2026-02-24
PF-C-GBP-004,GBP,2500000.00,2026-02-24
PF-C-GBP-005,GBP,2000000.00,2026-02-24
PF-C-GBP-006,GBP,1800000.00,2026-02-24
PF-C-GBP-007,GBP,1500000.00,2026-02-24
PF-C-GBP-008,GBP,1200000.00,2026-02-24
PF-C-GBP-009,GBP,900000.00,2026-02-24
PF-C-GBP-010,GBP,800000.00,2026-02-24
PF-C-GBP-011,GBP,700000.00,2026-02-24
PF-C-GBP-012,GBP,600000.00,2026-02-24
PF-C-GBP-013,GBP,500000.00,2026-02-24
PF-C-GBP-014,GBP,400000.00,2026-02-24
PF-C-GBP-015,GBP,350000.00,2026-02-24
PF-C-GBP-016,GBP,300000.00,2026-02-24
PF-C-GBP-017,GBP,250000.00,2026-02-24
PF-C-GBP-018,GBP,200000.00,2026-02-24
PF-C-GBP-019,GBP,175000.00,2026-02-24
PF-C-GBP-020,GBP,150000.00,2026-02-24
PF-C-GBP-021,GBP,125000.00,2026-02-24
PF-C-GBP-022,GBP,100000.00,2026-02-24
PF-C-GBP-023,GBP,75000.00,2026-02-24
PF-C-GBP-024,GBP,50000.00,2026-02-24
PF-C-GBP-025,GBP,50000.00,2026-02-24
PF-C-GBP-026,GBP,25000.00,2026-02-24
PF-C-GBP-027,GBP,500000.00,2026-02-24
PF-C-GBP-028,GBP,300000.00,2026-02-24
PF-C-GBP-029,GBP,250000.00,2026-02-24
PF-C-EUR-001,EUR,3500000.00,2026-02-24
PF-C-EUR-002,EUR,2800000.00,2026-02-24
PF-C-EUR-003,EUR,1500000.00,2026-02-24
PF-C-EUR-004,EUR,1000000.00,2026-02-24
PF-C-EUR-005,EUR,750000.00,2026-02-24
PF-C-EUR-006,EUR,400000.00,2026-02-24
PF-C-EUR-007,EUR,250000.00,2026-02-24
PF-C-USD-001,USD,3000000.00,2026-02-24
PF-C-USD-002,USD,2500000.00,2026-02-24
PF-C-USD-003,USD,1500000.00,2026-02-24
PF-C-USD-004,USD,1000000.00,2026-02-24
PF-C-USD-005,USD,750000.00,2026-02-24
PF-C-USD-006,USD,250000.00,2026-02-24
