client_id,currency,balance,balance_date
AP-C-GBP-001,GBP,50000000.00,2026-02-24
AP-C-GBP-002,GBP,40000000.00,2026-02-24
AP-C-GBP-003,GBP,35000000.00,2026-02-24
AP-C-GBP-004,GBP,30000000.00,2026-02-24
AP-C-GBP-005,GBP,25000000.00,2026-02-24
AP-C-GBP-006,GBP,20000000.00,2026-02-24
AP-C-GBP-007,GBP,15000000.00,2026-02-24
AP-C-GBP-008,GBP,12000000.00,2026-02-24
AP-C-GBP-009,GBP,10000000.00,2026-02-24
AP-C-GBP-010,GBP,8000000.00,2026-02-24
AP-C-GBP-011,GBP,7000000.00,2026-02-24
AP-C-GBP-012,GBP,6000000.00,2026-02-24
AP-C-GBP-013,GBP,5000000.00,2026-02-24
AP-C-GBP-014,GBP,4000000.00,2026-02-24
AP-C-GBP-015,GBP,3000000.00,2026-02-24
AP-C-GBP-016,GBP,2500000.00,2026-02-24
AP-C-GBP-017,GBP,2000000.00,2026-02-24
AP-C-GBP-018,GBP,1500000.00,2026-02-24
AP-C-GBP-019,GBP,1000000.00,2026-02-24
AP-C-GBP-020,GBP,900000.00,2026-02-24
AP-C-GBP-021,GBP,800000.00,2026-02-24
AP-C-GBP-022,GBP,700000.00,2026-02-24
AP-C-GBP-023,GBP,600000.00,2026-02-24
AP-C-EUR-001,EUR,20000000.00,2026-02-24
AP-C-EUR-002,EUR,18000000.00,2026-02-24
AP-C-EUR-003,EUR,15000000.00,2026-02-24
AP-C-EUR-004,EUR,12000000.00,2026-02-24
AP-C-EUR-005,EUR,10000000.00,2026-02-24
AP-C-EUR-006,EUR,8000000.00,2026-02-24
AP-C-EUR-007,EUR,7000000.00,2026-02-24
AP-C-EUR-008,EUR,6000000.00,2026-02-24
AP-C-EUR-009,EUR,5000000.00,2026-02-24
AP-C-EUR-010,EUR,4000000.00,2026-02-24
AP-C-EUR-011,EUR,3000000.00,2026-02-24
AP-C-EUR-012,EUR,2500000.00,2026-02-24
AP-C-EUR-013,EUR,2000000.00,2026-02-24
AP-C-EUR-014,EUR,1500000.00,2026-02-24
AP-C-EUR-015,EUR,1000000.00,2026-02-24
AP-C-EUR-016,EUR,800000.00,2026-02-24
AP-C-EUR-017,EUR,700000.00,2026-02-24
AP-C-EUR-018,EUR,500000.00,2026-02-24
AP-C-EUR-019,EUR,2000000.00,2026-02-24
AP-C-EUR-020,EUR,1000000.00,2026-02-24
AP-C-USD-001,USD,15000000.00,2026-02-24
AP-C-USD-002,USD,12000000.00,2026-02-24
AP-C-USD-003,USD,10000000.00,2026-02-24
AP-C-USD-004,USD,8000000.00,2026-02-24
AP-C-USD-005,USD,7000000.00,2026-02-24
AP-C-USD-006,USD,6000000.00,2026-02-24
AP-C-USD-007,USD,5000000.00,2026-02-24
AP-C-USD-008,USD,4000000.00,2026-02-24
AP-C-USD-009,USD,3500000.00,2026-02-24
AP-C-USD-010,USD,3000000.00,2026-02-24
AP-C-USD-011,USD,2500000.00,2026-02-24
AP-C-USD-012,USD,2000000.00,2026-02-24
AP-C-USD-013,USD,1500000.00,2026-02-24
AP-C-USD-014,USD,500000.00,2026-02-24
AP-C-PLN-001,PLN,25000000.00,2026-02-24
AP-C-PLN-002,PLN,20000000.00,2026-02-24
AP-C-PLN-003,PLN,15000000.00,2026-02-24
AP-C-PLN-004,PLN,12000000.00,2026-02-24
AP-C-PLN-005,PLN,10000000.00,2026-02-24
AP-C-PLN-006,PLN,8000000.00,2026-02-24
AP-C-PLN-007,PLN,5000000.00,2026-02-24
AP-C-PLN-008,PLN,3000000.00,2026-02-24
AP-C-PLN-009,PLN,2000000.00,2026-02-24
AP-C-CHF-001,CHF,12000000.00,2026-02-24
AP-C-CHF-002,CHF,10000000.00,2026-02-24
AP-C-CHF-003,CHF,8000000.00,2026-02-24
AP-C-CHF-004,CHF,5000000.00,2026-02-24
AP-C-CHF-005,CHF,5000000.00,2026-02-24
