client_id,currency,balance,balance_date
NP-C-GBP-001,GBP,8000.00,2026-02-24
NP-C-GBP-002,GBP,8000.00,2026-02-24
NP-C-GBP-003,GBP,8000.00,2026-02-24
NP-C-GBP-004,GBP,8000.00,2026-02-24
NP-C-GBP-005,GBP,8000.00,2026-02-24
NP-C-GBP-006,GBP,8000.00,2026-02-24
NP-C-GBP-007,GBP,8000.00,2026-02-24
NP-C-GBP-008,GBP,8000.00,2026-02-24
NP-C-GBP-009,GBP,8000.00,2026-02-24
NP-C-GBP-010,GBP,8000.00,2026-02-24
NP-C-GBP-011,GBP,6000.00,2026-02-24
NP-C-GBP-012,GBP,6000.00,2026-02-24
NP-C-GBP-013,GBP,6000.00,2026-02-24
NP-C-GBP-014,GBP,6000.00,2026-02-24
NP-C-GBP-015,GBP,6000.00,2026-02-24
NP-C-GBP-016,GBP,6000.00,2026-02-24
NP-C-GBP-017,GBP,6000.00,2026-02-24
NP-C-GBP-018,GBP,6000.00,2026-02-24
NP-C-GBP-019,GBP,6000.00,2026-02-24
NP-C-GBP-020,GBP,6000.00,2026-02-24
NP-C-GBP-021,GBP,2500.00,2026-02-24
NP-C-GBP-022,GBP,2500.00,2026-02-24
NP-C-GBP-023,GBP,2500.00,2026-02-24
NP-C-GBP-024,GBP,2500.00,2026-02-24
NP-C-GBP-025,GBP,2500.00,2026-02-24
NP-C-GBP-026,GBP,2500.00,2026-02-24
NP-C-GBP-027,GBP,2500.00,2026-02-24
NP-C-GBP-028,GBP,2500.00,2026-02-24
NP-C-GBP-029,GBP,2500.00,2026-02-24
NP-C-GBP-030,GBP,2500.00,2026-02-24
NP-C-GBP-031,GBP,1500.00,2026-02-24
NP-C-GBP-032,GBP,1500.00,2026-02-24
NP-C-GBP-033,GBP,1500.00,2026-02-24
NP-C-GBP-034,GBP,1500.00,2026-02-24
NP-C-GBP-035,GBP,1500.00,2026-02-24
NP-C-GBP-036,GBP,1500.00,2026-02-24
NP-C-GBP-037,GBP,1500.00,2026-02-24
NP-C-GBP-038,GBP,1500.00,2026-02-24
NP-C-GBP-039,GBP,1500.00,2026-02-24
NP-C-GBP-040,GBP,1500.00,2026-02-24
