external_account_id,currency,closing_balance,balance_date,statement_reference
SA-MT-CIT-GBP-01,GBP,85000000.00,2026-02-24,CIT-MT-GBP01-20260224
SA-MT-CIT-EUR-01,EUR,42000000.00,2026-02-24,CIT-MT-EUR01-20260224
SA-MT-CIT-USD-01,USD,22000000.00,2026-02-24,CIT-MT-USD01-20260224
SA-MT-CIT-AED-01,AED,12000000.00,2026-02-24,CIT-MT-AED01-20260224
SA-MT-CIT-SGD-01,SGD,6500000.00,2026-02-24,CIT-MT-SGD01-20260224
SA-MT-CIT-HKD-01,HKD,32000000.00,2026-02-24,CIT-MT-HKD01-20260224
SA-MT-HSBC-GBP-01,GBP,78000000.00,2026-02-24,HSBC-MT-GBP01-20260224
SA-MT-HSBC-EUR-01,EUR,40000000.00,2026-02-24,HSBC-MT-EUR01-20260224
SA-MT-HSBC-USD-01,USD,20000000.00,2026-02-24,HSBC-MT-USD01-20260224
SA-MT-HSBC-AED-01,AED,10000000.00,2026-02-24,HSBC-MT-AED01-20260224
SA-MT-HSBC-SGD-01,SGD,6000000.00,2026-02-24,HSBC-MT-SGD01-20260224
SA-MT-HSBC-HKD-01,HKD,30000000.00,2026-02-24,HSBC-MT-HKD01-20260224
SA-MT-BRL-GBP-01,GBP,75000000.00,2026-02-24,BRL-MT-GBP01-20260224
SA-MT-BRL-EUR-01,EUR,38000000.00,2026-02-24,BRL-MT-EUR01-20260224
SA-MT-BRL-USD-01,USD,20000000.00,2026-02-24,BRL-MT-USD01-20260224
SA-MT-BRL-AED-01,AED,10000000.00,2026-02-24,BRL-MT-AED01-20260224
SA-MT-BRL-SGD-01,SGD,6000000.00,2026-02-24,BRL-MT-SGD01-20260224
SA-MT-BRL-HKD-01,HKD,30000000.00,2026-02-24,BRL-MT-HKD01-20260224
SA-MT-DBK-GBP-01,GBP,72000000.00,2026-02-24,DBK-MT-GBP01-20260224
SA-MT-DBK-EUR-01,EUR,42000000.00,2026-02-24,DBK-MT-EUR01-20260224
SA-MT-DBK-USD-01,USD,18000000.00,2026-02-24,DBK-MT-USD01-20260224
SA-MT-DBK-AED-01,AED,8000000.00,2026-02-24,DBK-MT-AED01-20260224
SA-MT-DBK-SGD-01,SGD,5500000.00,2026-02-24,DBK-MT-SGD01-20260224
SA-MT-DBK-HKD-01,HKD,28000000.00,2026-02-24,DBK-MT-HKD01-20260224
SA-MT-SCB-GBP-01,GBP,68900000.00,2026-02-24,SCB-MT-GBP01-20260224
SA-MT-SCB-EUR-01,EUR,38000000.00,2026-02-24,SCB-MT-EUR01-20260224
SA-MT-SCB-USD-01,USD,20000000.00,2026-02-24,SCB-MT-USD01-20260224
SA-MT-SCB-AED-01,AED,10000000.00,2026-02-24,SCB-MT-AED01-20260224
SA-MT-SCB-SGD-01,SGD,6000000.00,2026-02-24,SCB-MT-SGD01-20260224
SA-MT-SCB-HKD-01,HKD,30000000.00,2026-02-24,SCB-MT-HKD01-20260224
